7.08008e-05,-1.02882,2.52882
0.0116748,-2.03271,3.43125
0.114539,-3.06296,4.18494
0.171799,-4.13775,4.41021
0.146492,-5.18914,5.05606
0.147551,-6.19231,5.87417
0.149541,-7.34137,6.55806
0.151523,-8.393,7.24561
0.153794,-9.57298,7.68938
0.148196,-10.807,8.3606
0.119646,-11.8682,8.7717
0.0973901,-12.9835,9.18355
0.0660352,-14.1514,9.5624
-0.00965576,-15.3659,9.94195
-0.084873,-16.6303,10.3258
-0.146252,-17.6318,10.5145
-0.229661,-18.9819,10.8746
-0.292917,-20.0044,11.2557
-0.360425,-21.096,11.4205
-0.426841,-22.1706,11.791
-0.49749,-23.3146,11.9644
-0.566987,-24.4405,12.3088
-0.640728,-25.6359,12.4869
-0.713267,-26.8123,12.8227
-0.790056,-28.0583,13.0119
-0.865601,-29.2845,13.3284
-0.945093,-30.5753,13.3403
-1.02197,-31.824,13.3501
-1.10193,-33.1232,13.5774
-1.18084,-34.4053,13.9099
-1.2641,-35.7587,14.1303
-1.34609,-37.0919,14.4367
-1.43237,-38.4956,14.6442
-1.51725,-39.8767,14.9188
-1.60641,-41.3284,15.1234
-1.69403,-42.7555,15.3839
-1.78588,-44.252,15.587
-1.87668,-45.7322,15.8323
-1.93853,-46.7405,15.9779
-2.00092,-47.7582,16.1221
-2.06388,-48.7853,16.2652
-2.12739,-49.8217,16.4149
-2.19145,-50.8673,16.5465
-2.26203,-51.9215,16.6749
-2.34854,-52.9826,16.8041
-2.4445,-54.0516,16.9416
-2.5445,-55.1293,17.0787
-2.64479,-56.2159,17.2138
-2.74866,-57.311,17.2788
-2.85483,-58.4147,17.4165
-2.96182,-59.5273,17.6249
-3.06938,-60.6486,17.7607
-3.17753,-61.7787,17.9044
-3.28498,-62.918,18.0249
-3.38226,-64.0665,18.153
-3.47513,-65.2242,18.2865
-3.56608,-66.3907,18.42
-3.65384,-67.5664,18.551
-3.73328,-68.7508,18.61
-3.79936,-69.9441,18.8027
-3.86274,-71.1462,18.9347
-3.92153,-72.3573,19.0665
-3.97618,-73.5773,19.1981
-4.02797,-74.8062,19.3385
-4.07805,-76.0439,19.4586
-4.12127,-77.2902,19.5171
-4.15191,-78.5449,19.7071
-4.17997,-79.8082,19.8369
-4.20326,-81.0803,19.9666
-4.22201,-82.3612,20.0962
-4.23743,-83.6507,20.2255
-4.25067,-84.9487,20.2862
-4.26245,-86.2479,20.2645
-4.27332,-87.5463,20.2443
-4.28367,-88.8465,20.3977
-4.29377,-90.1566,20.5468
-4.30375,-91.4759,20.6991
-4.31371,-92.804,20.8266
-4.32366,-94.1401,20.9586
-4.33364,-95.4838,21.0959
-4.34366,-96.8353,21.2194
-4.35372,-98.1938,21.3292
-4.36381,-99.5595,21.4459
-4.37395,-100.932,21.5007
-4.38413,-102.312,21.6134
-4.39299,-103.698,21.7754
-4.39108,-105.09,21.865
-4.36844,-106.487,21.9328
-4.31421,-107.938,22.0224
-4.24226,-109.343,22.1157
-4.15224,-110.752,22.2074
-4.03722,-112.164,22.2853
-3.89155,-113.577,22.3608
-3.71006,-114.989,22.3834
-3.48957,-116.397,22.4457
-3.23873,-117.806,22.5204
-2.95576,-119.212,22.578
-2.63259,-120.612,22.657
-2.27513,-122.008,22.7191
-1.89027,-123.402,22.7939
-1.47229,-124.789,22.8575
-1.02058,-126.17,22.9606
-0.547053,-127.549,23.0534
-0.0529346,-128.927,23.1472
0.463723,-130.302,23.2176
1.00709,-131.67,23.2952
1.5823,-133.03,23.3251
2.1942,-134.376,23.3545
2.84589,-135.704,23.3641
3.54058,-137.012,23.3517
4.28052,-138.293,23.3293
5.06366,-139.549,23.3412
5.88501,-140.782,23.3794
6.74441,-141.991,23.4638
7.63995,-143.177,23.5331
8.56783,-144.342,23.604
9.52348,-145.489,23.7013
10.5018,-146.623,23.8026
11.4981,-147.749,23.9155
12.5054,-148.867,24.0056
13.5288,-149.982,24.0939
14.5067,-151.021,24.1739
15.5681,-152.109,24.1924
16.6423,-153.16,24.2348
17.6889,-154.134,24.2592
18.76,-155.075,24.256
19.9098,-156.022,24.2114
21.0661,-156.91,24.1552
22.2516,-157.755,24.1155
23.4935,-158.581,24.1658
24.7522,-159.362,24.136
26.0488,-160.11,24.1833
27.3603,-160.815,24.2168
28.6777,-161.477,24.3279
30.0373,-162.117,24.3959
31.424,-162.726,24.4259
32.786,-163.282,24.4665
34.1691,-163.803,24.4938
35.5859,-164.291,24.5134
36.926,-164.711,24.5219
38.3895,-165.12,24.5402
39.8251,-165.48,24.5882
41.3112,-165.814,24.6147
42.7841,-166.105,24.7444
44.2527,-166.36,24.8112
45.768,-166.593,24.9042
47.2695,-166.798,25.0021
48.7949,-166.987,25.1138
50.3422,-167.164,25.2114
51.8493,-167.327,25.2983
53.3885,-167.487,25.3921
54.8775,-167.638,25.4364
56.3388,-167.783,25.573
57.8168,-167.928,25.6666
59.3722,-168.081,25.764
60.8321,-168.223,25.8425
62.3524,-168.371,25.9412
63.8587,-168.518,26.0156
65.3525,-168.663,26.0981
66.8032,-168.804,26.1844
68.3375,-168.954,26.2698
69.8664,-169.103,26.3631
71.3539,-169.248,26.392
72.8374,-169.393,26.5183
74.3896,-169.544,26.5984
75.8698,-169.689,26.6802
77.3897,-169.836,26.7585
78.9211,-169.977,26.8257
80.4212,-170.101,26.8904
81.9456,-170.214,26.9651
83.4741,-170.319,27.0377
84.9728,-170.41,27.1122
86.4865,-170.49,27.1868
87.9785,-170.559,27.2662
89.5474,-170.623,27.3422
91.0803,-170.674,27.4085
